timestamp_ms,wifi_dbm
100,-20
200,-20
300,-20
400,-27
500,-27
600,-27
700,-27
800,-27
900,-27
1000,-27
1100,-27
1200,-27
1300,-27
1400,-27
1500,-27
1600,-27
1700,-27
1800,-27
1900,-27
2000,-27
2100,-27
2200,-27
2300,-21
2400,-21
2500,-21
2600,-21
2700,-21
2800,-21
2900,-27
3000,-27
3100,-27
3200,-27
3300,-27
3400,-27
3500,-27
3600,-27
3700,-27
3800,-27
3900,-27
4000,-27
4100,-27
4200,-27
4300,-27
4400,-27
4500,-27
4600,-27
4700,-27
4800,-27
4900,-27
5000,-27
5100,-27
5200,-27
5300,-27
5400,-27
5500,-27
5600,-27
5700,-27
5800,-27
5900,-27
6000,-27
6100,-27
6200,-27
6300,-27
6400,-27
6500,-27
6600,-27
6700,-27
6800,-27
6900,-27
7000,-27
7100,-21
7200,-21
7300,-21
7400,-21
7500,-21
7600,-21
7700,-21
7800,-27
7900,-27
8000,-27
8100,-27
8200,-27
8300,-27
8400,-27
8500,-27
8600,-27
8700,-21
8800,-21
8900,-21
9000,-21
9100,-21
9200,-21
9300,-21
9400,-21
9500,-21
9600,-21
9700,-21
9800,-27
9900,-27
10000,-27
10100,-26
10200,-26
10300,-27
10400,-27
10500,-27
10600,-26
10700,-26
10800,-26
10900,-26
11000,-26
11100,-26
11200,-26
11300,-26
11400,-26
11500,-26
11600,-26
11700,-26
11800,-26
11900,-26
12000,-26
12100,-26
12200,-26
12300,-26
12400,-26
12500,-26
12600,-26
12700,-26
12800,-26
12900,-27
13000,-27
13100,-27
13200,-27
13300,-27
13400,-27
13500,-27
13600,-27
13700,-27
13800,-27
13900,-27
14000,-27
14100,-27
14200,-27
14300,-27
14400,-27
14500,-27
14600,-27
14700,-27
14800,-27
14900,-27
15000,-27
15100,-27
15200,-27
15300,-27
15400,-27
15500,-27
15600,-27
15700,-27
15800,-27
15900,-27
16000,-27
16100,-27
16200,-27
16300,-27
16400,-27
16500,-27
16600,-27
16700,-27
16800,-27
16900,-27
17000,-27
17100,-27
17200,-27
17300,-21
17400,-21
17500,-21
17600,-21
17700,-21
17800,-27
17900,-27
18000,-27
18100,-27
18200,-27
18300,-27
18400,-27
18500,-27
18600,-27
18700,-27
18800,-27
18900,-27
19000,-21
19100,-21
19200,-21
19300,-21
19400,-21
19500,-21
19600,-21
19700,-21
19800,-27
19900,-27
20000,-27
